Dates,PX_LAST
2018-11-16,99.05
2018-11-19,98.01
2018-11-20,96.82
2018-11-21,97.76
2018-11-22,97.54
2018-11-23,97.69
2018-11-26,97.48
2018-11-27,98.08
2018-11-28,99.75
2018-11-29,99.36
2018-11-30,99.13
2018-12-03,99.0
2018-12-04,95.19
2018-12-05,93.99
2018-12-06,93.9
2018-12-07,92.71
2018-12-10,92.0991
2018-12-11,91.19
2018-12-12,91.04
2018-12-13,90.07
2018-12-14,89.9
2018-12-17,89.01
2018-12-18,89.65
2018-12-19,89.03
2018-12-20,88.49
2018-12-21,87.18
2018-12-24,86.43
2018-12-27,88.6
2018-12-28,88.81
2018-12-31,89.19
2019-01-02,89.56
2019-01-03,88.74
2019-01-04,90.15
2019-01-07,89.93
2019-01-08,90.73
2019-01-09,91.89
2019-01-10,92.47
2019-01-11,92.76
2019-01-14,92.82
2019-01-15,93.62
2019-01-16,94.89
2019-01-17,95.7
2019-01-18,96.73
2019-01-21,96.76
2019-01-22,96.7
2019-01-23,96.61
2019-01-24,96.8
2019-01-25,97.24
2019-01-28,96.68
2019-01-29,97.05
2019-01-30,97.73
2019-01-31,96.12
2019-02-01,95.94
2019-02-04,96.72
2019-02-05,97.25
2019-02-06,97.2
2019-02-07,97.14
2019-02-08,96.95
2019-02-11,96.98
2019-02-12,97.82
2019-02-13,97.87
2019-02-14,97.35
2019-02-15,98.13
2019-02-19,98.16
2019-02-20,99.05
2019-02-21,98.47
2019-02-22,98.73
2019-02-25,99.18
2019-02-26,101.66
2019-02-27,102.94
2019-02-28,102.62
2019-03-01,103.15
2019-03-04,103.29
2019-03-05,103.64
2019-03-06,103.91
2019-03-07,103.58
2019-03-08,102.83
2019-03-11,102.85
2019-03-12,101.95
2019-03-13,102.07
2019-03-14,102.67
2019-03-15,103.7
2019-03-18,104.11
2019-03-19,103.54
2019-03-20,102.74
2019-03-21,102.25
2019-03-22,100.74
2019-03-25,100.97
2019-03-26,101.12
2019-03-27,100.91
2019-03-28,100.52
2019-03-29,99.99
2019-04-01,101.48
2019-04-02,102.14
2019-04-03,102.19
2019-04-04,102.31
2019-04-05,102.34
2019-04-08,102.25
2019-04-09,101.97
2019-04-10,102.06
2019-04-11,102.54
2019-04-12,103.23
2019-04-15,103.53
2019-04-16,103.87
2019-04-17,105.19
2019-04-18,105.5
2019-04-22,105.44
2019-04-23,105.63
2019-04-24,105.37
2019-04-25,105.34
2019-04-26,105.69
2019-04-29,106.41
2019-04-30,105.82
2019-05-01,105.83
2019-05-02,105.73
2019-05-03,106.11
2019-05-06,106.36
2019-05-07,105.55
2019-05-08,105.47
2019-05-09,104.55
2019-05-10,104.16
2019-05-13,102.86
2019-05-14,103.31
2019-05-15,103.58
2019-05-16,104.01
2019-05-17,103.42
2019-05-21,104.63
2019-05-22,104.07
