Dates,PX_LAST
2018-11-16,70.97
2018-11-19,70.76
2018-11-20,69.67
2018-11-21,70.28
2018-11-22,70.05
2018-11-23,70.18
2018-11-26,70.09
2018-11-27,70.15
2018-11-28,72.12
2018-11-29,72.8
2018-11-30,72.3
2018-12-03,72.57
2018-12-04,71.67
2018-12-05,72.13
2018-12-06,71.43
2018-12-07,71.6
2018-12-10,71.822
2018-12-11,71.48
2018-12-12,72.23
2018-12-13,72.05
2018-12-14,72.0
2018-12-17,71.64
2018-12-18,71.2
2018-12-19,69.94
2018-12-20,69.22
2018-12-21,67.09
2018-12-24,66.81
2018-12-27,68.25
2018-12-28,68.8
2018-12-31,68.05
2019-01-02,68.27
2019-01-03,67.83
2019-01-04,68.56
2019-01-07,68.76
2019-01-08,69.25
2019-01-09,70.47
2019-01-10,71.2
2019-01-11,71.37
2019-01-14,71.28
2019-01-15,71.57
2019-01-16,72.27
2019-01-17,73.1
2019-01-18,73.34
2019-01-21,73.77
2019-01-22,73.8
2019-01-23,73.37
2019-01-24,73.49
2019-01-25,73.57
2019-01-28,73.78
2019-01-29,74.32
2019-01-30,74.47
2019-01-31,74.78
2019-02-01,73.82
2019-02-04,74.23
2019-02-05,74.54
2019-02-06,74.61
2019-02-07,74.83
2019-02-08,74.48
2019-02-11,74.48
2019-02-12,74.62
2019-02-13,74.59
2019-02-14,74.32
2019-02-15,74.77
2019-02-19,74.89
2019-02-20,75.58
2019-02-21,75.5
2019-02-22,75.38
2019-02-25,75.42
2019-02-26,73.16
2019-02-27,72.72
2019-02-28,73.14
2019-03-01,72.67
2019-03-04,72.76
2019-03-05,72.43
2019-03-06,72.72
2019-03-07,72.37
2019-03-08,72.25
2019-03-11,72.53
2019-03-12,72.83
2019-03-13,72.76
2019-03-14,72.86
2019-03-15,73.09
2019-03-18,73.7
2019-03-19,73.48
2019-03-20,72.78
2019-03-21,72.48
2019-03-22,71.39
2019-03-25,70.79
2019-03-26,70.62
2019-03-27,70.78
2019-03-28,71.29
2019-03-29,70.11
2019-04-01,71.15
2019-04-02,70.82
2019-04-03,71.1
2019-04-04,71.3
2019-04-05,71.37
2019-04-08,71.24
2019-04-09,71.05
2019-04-10,71.35
2019-04-11,71.26
2019-04-12,71.78
2019-04-15,72.04
2019-04-16,72.54
2019-04-17,72.85
2019-04-18,73.16
2019-04-22,72.6
2019-04-23,73.16
2019-04-24,72.59
2019-04-25,72.9
2019-04-26,73.41
2019-04-29,73.59
2019-04-30,73.78
2019-05-01,73.67
2019-05-02,73.18
2019-05-03,73.41
2019-05-06,73.46
2019-05-07,72.93
2019-05-08,72.44
2019-05-09,72.06
2019-05-10,72.33
2019-05-13,70.53
2019-05-14,71.37
2019-05-15,71.1
2019-05-16,71.53
2019-05-17,71.45
2019-05-21,71.79
2019-05-22,71.28
2019-05-23,70.5
2019-05-24,70.6
2019-05-27,70.57
2019-05-28,70.15
2019-05-29,69.85
2019-05-30,69.4
2019-05-31,68.56
2019-06-03,69.21
2019-06-04,70.5
2019-06-05,69.95
2019-06-06,70.03
2019-06-07,70.4
2019-06-10,70.72
2019-06-11,70.77
2019-06-12,70.22
2019-06-13,70.33
2019-06-14,70.59
2019-06-17,70.61
2019-06-18,71.16
2019-06-19,71.26
2019-06-20,71.38
2019-06-21,71.51
2019-06-24,71.69
2019-06-25,71.36
2019-06-26,71.13
2019-06-27,70.98
2019-06-28,70.34
2019-07-02,70.77
2019-07-03,71.16
2019-07-04,71.2
2019-07-05,70.98
2019-07-08,70.87
2019-07-09,71.01
2019-07-10,70.78
2019-07-11,70.52
2019-07-12,69.83
2019-07-15,69.49
2019-07-16,69.42
2019-07-17,69.07
2019-07-18,69.37
2019-07-19,69.37
2019-07-22,69.36
2019-07-23,69.82
2019-07-24,70.29
2019-07-25,70.73
2019-07-26,70.54
2019-07-29,70.8
2019-07-30,70.48
2019-07-31,70.46
2019-08-01,70.07
2019-08-02,69.57
2019-08-06,68.5
2019-08-07,68.99
2019-08-08,69.37
2019-08-09,69.12
2019-08-12,68.81
2019-08-13,69.07
2019-08-14,67.71
2019-08-15,67.41
2019-08-16,67.72
2019-08-19,68.47
2019-08-20,67.93
2019-08-21,68.22
2019-08-22,68.48
2019-08-23,67.71
2019-08-26,67.77
2019-08-27,68.57
2019-08-28,69.33
2019-08-29,70.47
2019-08-30,70.8
2019-09-03,70.44
2019-09-04,71.02
2019-09-05,71.63
2019-09-06,72.08
2019-09-09,72.57
2019-09-10,72.92
2019-09-11,73.71
2019-09-12,74.26
2019-09-13,74.97
2019-09-16,74.47
2019-09-17,74.75
2019-09-18,74.58
2019-09-19,74.53
2019-09-20,74.75
2019-09-23,74.85
2019-09-24,75.33
2019-09-25,75.67
2019-09-26,76.14
2019-09-27,76.25
2019-09-30,75.25
2019-10-01,74.51
2019-10-02,73.93
2019-10-03,73.8
