Dates,PX_LAST
2018-11-16,57.075
2018-11-19,56.78
2018-11-20,56.125
2018-11-21,56.745
2018-11-22,56.575
2018-11-23,56.84
2018-11-26,56.895
2018-11-27,57.37
2018-11-28,58.095
2018-11-29,56.23
2018-11-30,55.75
2018-12-03,55.415
2018-12-04,54.795
2018-12-05,54.825
2018-12-06,53.97
2018-12-07,53.735
2018-12-10,53.385
2018-12-11,52.775
2018-12-12,53.25
2018-12-13,53.545
2018-12-14,53.6
2018-12-17,52.76
2018-12-18,52.59
2018-12-19,52.13
2018-12-20,51.655
2018-12-21,50.655
2018-12-24,50.4
2018-12-27,50.5
2018-12-28,50.8
2018-12-31,50.84
2019-01-02,51.15
2019-01-03,50.96
2019-01-04,51.49
2019-01-07,51.76
2019-01-08,51.9
2019-01-09,52.58
2019-01-10,52.895
2019-01-11,53.365
2019-01-14,53.105
2019-01-15,53.405
2019-01-16,53.965
2019-01-17,54.285
2019-01-18,54.845
2019-01-21,54.88
2019-01-22,54.87
2019-01-23,54.555
2019-01-24,54.88
2019-01-25,55.12
2019-01-28,55.23
2019-01-29,55.525
2019-01-30,55.605
2019-01-31,55.705
2019-02-01,55.6
2019-02-04,55.66
2019-02-05,56.07
2019-02-06,56.14
2019-02-07,55.475
2019-02-08,55.475
2019-02-11,55.445
2019-02-12,56.13
2019-02-13,55.955
2019-02-14,55.915
2019-02-15,56.525
2019-02-19,56.61
2019-02-20,57.1
2019-02-21,56.96
2019-02-22,57.12
2019-02-25,57.305
2019-02-26,56.755
2019-02-27,57.365
2019-02-28,55.815
2019-03-01,55.95
2019-03-04,56.36
2019-03-05,56.485
2019-03-06,56.4
2019-03-07,56.165
2019-03-08,55.935
2019-03-11,56.23
2019-03-12,56.085
2019-03-13,55.975
2019-03-14,56.09
2019-03-15,56.45
2019-03-18,56.845
2019-03-19,56.67
2019-03-20,56.045
2019-03-21,55.9
2019-03-22,54.64
2019-03-25,54.6
2019-03-26,54.3
2019-03-27,53.36
2019-03-28,53.51
2019-03-29,52.8
2019-04-01,53.78
2019-04-02,54.06
2019-04-03,54.145
2019-04-04,54.625
2019-04-05,54.765
2019-04-08,54.71
2019-04-09,54.56
2019-04-10,54.575
2019-04-11,54.625
2019-04-12,54.975
2019-04-15,55.175
2019-04-16,55.39
2019-04-17,55.44
2019-04-18,55.495
2019-04-22,55.3
2019-04-23,55.64
2019-04-24,55.445
2019-04-25,55.825
2019-04-26,56.12
2019-04-29,56.34
2019-04-30,56.405
2019-05-01,56.565
2019-05-02,56.36
2019-05-03,56.505
2019-05-06,56.365
2019-05-07,55.99
2019-05-08,55.91
2019-05-09,55.58
2019-05-10,55.385
2019-05-13,54.695
2019-05-14,54.89
2019-05-15,55.02
2019-05-16,55.29
2019-05-17,55.32
2019-05-21,56.06
2019-05-22,53.605
2019-05-23,51.935
2019-05-24,52.28
2019-05-27,52.23
2019-05-28,51.84
2019-05-29,51.61
2019-05-30,51.325
2019-05-31,51.245
2019-06-03,51.59
2019-06-04,52.5
2019-06-05,51.93
2019-06-06,51.695
2019-06-07,51.74
2019-06-10,51.905
2019-06-11,51.78
2019-06-12,51.295
2019-06-13,51.465
2019-06-14,51.755
2019-06-17,51.79
2019-06-18,52.175
2019-06-19,52.15
2019-06-20,52.51
2019-06-21,52.55
2019-06-24,52.575
2019-06-25,52.2
2019-06-26,52.03
2019-06-27,51.01
2019-06-28,51.49
2019-07-02,52.075
2019-07-03,52.19
2019-07-04,52.12
2019-07-05,52.225
2019-07-08,51.89
2019-07-09,51.65
2019-07-10,51.685
2019-07-11,51.755
2019-07-12,51.57
2019-07-15,51.465
2019-07-16,51.17
2019-07-17,50.9
2019-07-18,51.19
2019-07-19,51.34
2019-07-22,51.385
2019-07-23,51.565
2019-07-24,51.935
2019-07-25,51.9
2019-07-26,51.8
2019-07-29,51.755
2019-07-30,51.695
2019-07-31,51.915
2019-08-01,51.25
2019-08-02,50.905
2019-08-06,49.915
2019-08-07,50.21
2019-08-08,50.675
2019-08-09,50.46
2019-08-12,49.925
2019-08-13,50.265
2019-08-14,49.57
2019-08-15,49.1
2019-08-16,49.52
2019-08-19,49.955
2019-08-20,49.375
2019-08-21,49.75
2019-08-22,50.8
2019-08-23,50.015
2019-08-26,50.425
2019-08-27,50.115
2019-08-28,51.11
2019-08-29,51.44
2019-08-30,51.565
2019-09-03,51.44
2019-09-04,50.97
2019-09-05,51.635
2019-09-06,51.77
2019-09-09,52.22
2019-09-10,52.72
2019-09-11,53.53
2019-09-12,53.765
2019-09-13,54.41
2019-09-16,54.675
2019-09-17,54.7
2019-09-18,54.94
2019-09-19,55.575
2019-09-20,55.555
2019-09-23,55.32
2019-09-24,54.765
2019-09-25,55.275
2019-09-26,54.455
2019-09-27,54.665
2019-09-30,54.655
2019-10-01,54.38
2019-10-02,53.615
2019-10-03,53.36
2019-10-04,53.75
2019-10-07,54.06
2019-10-08,53.655
2019-10-09,54.295
2019-10-10,54.33
2019-10-11,54.945
2019-10-15,55.105
2019-10-16,55.465
2019-10-17,55.255
2019-10-18,55.525
2019-10-21,55.6
2019-10-22,55.71
2019-10-23,55.945
2019-10-24,55.88
2019-10-25,56.035
2019-10-28,56.11
2019-10-29,56.365
2019-10-30,56.6
2019-10-31,56.155
2019-11-01,56.475
2019-11-04,56.76
2019-11-05,57.14
2019-11-06,57.375
2019-11-07,57.49
2019-11-08,57.49
2019-11-11,57.265
2019-11-12,57.28
2019-11-13,57.145
2019-11-14,57.26
2019-11-15,57.665
2019-11-18,57.695
2019-11-19,57.585
2019-11-20,57.285
2019-11-21,57.475
2019-11-22,57.73
2019-11-25,57.7
2019-11-26,57.65
2019-11-27,57.775
2019-11-28,57.88
2019-11-29,57.73
2019-12-02,57.58
2019-12-03,57.145
2019-12-04,57.415
2019-12-05,54.44
2019-12-06,54.935
2019-12-09,54.72
2019-12-10,54.525
2019-12-11,54.42
2019-12-12,54.725
2019-12-13,54.715
