Dates,PX_LAST
2018-11-16,60.7
2018-11-19,60.34
2018-11-20,59.6
2018-11-21,60.19
2018-11-22,59.9
2018-11-23,60.04
2018-11-26,60.06
2018-11-27,60.05
2018-11-28,60.48
2018-11-29,60.46
2018-11-30,60.6
2018-12-03,60.39
2018-12-04,60.06
2018-12-05,60.2
2018-12-06,59.46
2018-12-07,58.96
2018-12-10,58.79
2018-12-11,58.7
2018-12-12,58.67
2018-12-13,58.67
2018-12-14,58.38
2018-12-17,57.57
2018-12-18,57.66
2018-12-19,57.98
2018-12-20,56.54
2018-12-21,55.4
2018-12-24,55.06
2018-12-27,55.61
2018-12-28,55.82
2018-12-31,56.05
2019-01-02,56.53
2019-01-03,56.27
2019-01-04,56.54
2019-01-07,57.31
2019-01-08,57.44
2019-01-09,58.69
2019-01-10,59.24
2019-01-11,59.51
2019-01-14,59.32
2019-01-15,59.29
2019-01-16,59.83
2019-01-17,60.18
2019-01-18,60.74
2019-01-21,60.93
2019-01-22,60.32
2019-01-23,60.51
2019-01-24,60.72
2019-01-25,60.86
2019-01-28,61.14
2019-01-29,61.31
2019-01-30,61.65
2019-01-31,61.8
2019-02-01,61.85
2019-02-04,62.12
2019-02-05,62.29
2019-02-06,62.41
2019-02-07,61.69
2019-02-08,61.59
2019-02-11,61.74
2019-02-12,61.94
2019-02-13,62.05
2019-02-14,61.79
2019-02-15,62.19
2019-02-19,62.34
2019-02-20,62.56
2019-02-21,62.64
2019-02-22,62.58
2019-02-25,62.52
2019-02-26,62.53
2019-02-27,62.13
2019-02-28,62.09
2019-03-01,62.16
2019-03-04,62.33
2019-03-05,62.18
2019-03-06,62.0
2019-03-07,61.85
2019-03-08,61.61
2019-03-11,61.83
2019-03-12,61.97
2019-03-13,61.79
2019-03-14,61.86
2019-03-15,62.28
2019-03-18,62.65
2019-03-19,62.62
2019-03-20,62.33
2019-03-21,62.49
2019-03-22,61.34
2019-03-25,60.92
2019-03-26,61.13
2019-03-27,61.04
2019-03-28,60.75
2019-03-29,60.31
2019-04-01,61.29
2019-04-02,61.44
2019-04-03,61.7
2019-04-04,61.8
2019-04-05,61.97
2019-04-08,61.77
2019-04-09,61.81
2019-04-10,61.94
2019-04-11,61.96
2019-04-12,62.54
2019-04-15,62.82
2019-04-16,62.82
2019-04-17,62.96
2019-04-18,63.31
2019-04-22,63.44
2019-04-23,63.4
2019-04-24,63.32
2019-04-25,63.5
2019-04-26,63.6
2019-04-29,63.6
2019-04-30,63.82
2019-05-01,63.84
2019-05-02,63.79
2019-05-03,63.95
2019-05-06,63.77
2019-05-07,63.52
2019-05-08,63.62
2019-05-09,63.49
2019-05-10,63.38
2019-05-13,63.1
2019-05-14,62.94
2019-05-15,63.3
2019-05-16,63.45
2019-05-17,63.08
2019-05-21,63.06
2019-05-22,62.81
2019-05-23,62.32
2019-05-24,62.15
2019-05-27,62.57
2019-05-28,62.27
2019-05-29,61.89
2019-05-30,61.3
2019-05-31,60.71
2019-06-03,60.73
2019-06-04,61.6
2019-06-05,61.97
2019-06-06,61.78
2019-06-07,61.89
2019-06-10,62.07
2019-06-11,61.73
2019-06-12,61.35
2019-06-13,61.33
2019-06-14,61.73
2019-06-17,61.94
2019-06-18,62.3
2019-06-19,62.55
2019-06-20,62.57
2019-06-21,62.61
2019-06-24,61.8
2019-06-25,61.68
2019-06-26,61.33
2019-06-27,61.43
2019-06-28,62.21
2019-07-02,62.52
2019-07-03,62.96
2019-07-04,63.11
2019-07-05,63.31
2019-07-08,63.22
2019-07-09,63.89
2019-07-10,64.0
2019-07-11,63.74
2019-07-12,63.28
2019-07-15,63.32
2019-07-16,63.23
2019-07-17,63.1
2019-07-18,63.06
2019-07-19,63.33
2019-07-22,63.31
2019-07-23,63.47
2019-07-24,64.01
2019-07-25,63.88
2019-07-26,64.16
2019-07-29,64.04
2019-07-30,63.84
2019-07-31,63.88
2019-08-01,63.82
2019-08-02,63.34
2019-08-06,62.81
2019-08-07,63.12
2019-08-08,63.16
2019-08-09,62.96
2019-08-12,62.8
2019-08-13,62.51
2019-08-14,61.0
2019-08-15,60.56
2019-08-16,61.05
2019-08-19,61.21
2019-08-20,60.92
2019-08-21,61.15
2019-08-22,61.28
2019-08-23,60.38
2019-08-26,60.63
2019-08-27,60.45
2019-08-28,60.9
2019-08-29,62.13
2019-08-30,62.52
2019-09-03,62.23
2019-09-04,62.27
2019-09-05,63.51
2019-09-06,63.26
2019-09-09,63.43
2019-09-10,63.73
2019-09-11,64.16
2019-09-12,64.53
2019-09-13,64.52
2019-09-16,64.63
2019-09-17,64.59
2019-09-18,64.83
2019-09-19,64.99
2019-09-20,65.33
2019-09-23,65.53
2019-09-24,65.77
2019-09-25,66.15
2019-09-26,66.57
2019-09-27,65.95
2019-09-30,65.92
2019-10-01,65.95
2019-10-02,65.27
2019-10-03,65.15
2019-10-04,65.75
2019-10-07,65.27
2019-10-08,65.85
2019-10-09,66.08
2019-10-10,66.09
2019-10-11,66.39
2019-10-15,67.0
2019-10-16,67.23
2019-10-17,67.32
2019-10-18,67.41
2019-10-21,67.45
2019-10-22,67.51
2019-10-23,67.48
2019-10-24,67.38
2019-10-25,67.47
2019-10-28,67.71
2019-10-29,67.81
2019-10-30,67.94
2019-10-31,68.02
2019-11-01,68.25
2019-11-04,68.25
2019-11-05,68.56
2019-11-06,68.64
2019-11-07,68.99
2019-11-08,69.39
2019-11-11,69.48
2019-11-12,69.45
2019-11-13,69.37
2019-11-14,69.64
2019-11-15,69.68
2019-11-18,69.81
2019-11-19,69.86
2019-11-20,70.3
2019-11-21,70.27
2019-11-22,70.69
2019-11-25,70.92
2019-11-26,70.83
2019-11-27,70.95
2019-11-28,70.9
2019-11-29,71.15
2019-12-02,70.9
2019-12-03,70.85
2019-12-04,72.24
2019-12-05,72.97
2019-12-06,71.86
2019-12-09,71.98
2019-12-10,72.08
2019-12-11,72.27
2019-12-12,72.2
2019-12-13,72.2
2019-12-16,72.1
2019-12-17,72.14
2019-12-18,71.6
2019-12-19,72.55
2019-12-20,72.87
2019-12-23,72.79
2019-12-24,72.94
2019-12-27,72.15
2019-12-30,72.18
2019-12-31,72.08
2020-01-02,71.62
2020-01-03,71.68
2020-01-06,71.56
2020-01-07,71.76
2020-01-08,71.94
