Dates,PX_LAST
2018-11-16,95.37
2018-11-19,94.82
2018-11-20,93.62
2018-11-21,95.88
2018-11-22,94.94
2018-11-23,95.06
2018-11-26,94.2
2018-11-27,95.49
2018-11-28,98.48
2018-11-29,97.82
2018-11-30,97.42
2018-12-03,97.45
2018-12-04,96.71
2018-12-05,97.6
2018-12-06,95.72
2018-12-07,94.95
2018-12-10,93.976
2018-12-11,93.36
2018-12-12,94.42
2018-12-13,94.21
2018-12-14,94.32
2018-12-17,93.5
2018-12-18,93.8
2018-12-19,92.68
2018-12-20,92.21
2018-12-21,90.95
2018-12-24,88.39
2018-12-27,92.56
2018-12-28,93.1
2018-12-31,93.44
2019-01-02,93.62
2019-01-03,92.57
2019-01-04,94.14
2019-01-07,93.91
2019-01-08,93.74
2019-01-09,95.74
2019-01-10,96.62
2019-01-11,96.6
2019-01-14,96.89
2019-01-15,97.27
2019-01-16,97.84
2019-01-17,98.42
2019-01-18,98.64
2019-01-21,99.74
2019-01-22,100.0
2019-01-23,98.65
2019-01-24,98.99
2019-01-25,99.06
2019-01-28,99.39
2019-01-29,99.71
2019-01-30,100.03
2019-01-31,100.02
2019-02-01,100.11
2019-02-04,100.54
2019-02-05,101.2
2019-02-06,101.39
2019-02-07,101.4
2019-02-08,100.91
2019-02-11,100.45
2019-02-12,100.75
2019-02-13,100.84
2019-02-14,100.67
2019-02-15,101.41
2019-02-19,101.79
2019-02-20,102.78
2019-02-21,102.27
2019-02-22,101.74
2019-02-25,102.42
2019-02-26,102.64
2019-02-27,103.3
2019-02-28,102.85
2019-03-01,103.46
2019-03-04,103.42
2019-03-05,103.74
2019-03-06,103.68
2019-03-07,103.23
2019-03-08,102.87
2019-03-11,102.98
2019-03-12,102.65
2019-03-13,102.76
2019-03-14,102.64
2019-03-15,103.54
2019-03-18,104.17
2019-03-19,103.6
2019-03-20,102.91
2019-03-21,102.48
2019-03-22,102.13
2019-03-25,102.03
2019-03-26,102.74
2019-03-27,102.07
2019-03-28,101.78
2019-03-29,100.82
2019-04-01,102.5
2019-04-02,103.02
2019-04-03,103.39
2019-04-04,103.44
2019-04-05,103.6
2019-04-08,103.44
2019-04-09,103.16
2019-04-10,103.5
2019-04-11,103.78
2019-04-12,104.69
2019-04-15,105.05
2019-04-16,105.68
2019-04-17,106.44
2019-04-18,107.18
2019-04-22,107.04
2019-04-23,107.85
2019-04-24,105.46
2019-04-25,105.38
2019-04-26,105.91
2019-04-29,106.58
2019-04-30,106.77
2019-05-01,106.45
2019-05-02,106.39
2019-05-03,106.89
2019-05-06,107.06
2019-05-07,106.32
2019-05-08,105.93
2019-05-09,105.98
2019-05-10,105.42
2019-05-13,104.39
2019-05-14,104.7
2019-05-15,104.71
2019-05-16,105.41
2019-05-17,105.12
2019-05-21,105.2
2019-05-22,105.18
2019-05-23,102.64
2019-05-24,103.39
2019-05-27,104.74
2019-05-28,104.05
2019-05-29,102.66
2019-05-30,102.59
2019-05-31,101.58
2019-06-03,101.78
2019-06-04,103.07
2019-06-05,103.5
2019-06-06,103.21
2019-06-07,103.22
2019-06-10,103.34
2019-06-11,103.28
2019-06-12,102.36
2019-06-13,103.03
2019-06-14,103.55
2019-06-17,103.67
2019-06-18,105.36
2019-06-19,105.19
2019-06-20,105.43
2019-06-21,105.0
2019-06-24,104.99
2019-06-25,104.15
2019-06-26,103.74
2019-06-27,103.46
2019-06-28,104.07
2019-07-02,104.83
2019-07-03,105.61
2019-07-04,105.42
2019-07-05,105.69
2019-07-08,105.16
2019-07-09,105.52
2019-07-10,105.17
2019-07-11,104.85
2019-07-12,104.33
2019-07-15,104.25
2019-07-16,104.42
2019-07-17,104.33
2019-07-18,104.5
2019-07-19,104.91
2019-07-22,104.72
2019-07-23,105.5
2019-07-24,105.04
2019-07-25,104.5
2019-07-26,104.77
2019-07-29,104.77
2019-07-30,104.15
2019-07-31,104.22
2019-08-01,102.83
2019-08-02,102.2
2019-08-06,101.01
2019-08-07,101.32
2019-08-08,101.82
2019-08-09,101.08
2019-08-12,99.98
2019-08-13,100.71
2019-08-14,98.83
2019-08-15,98.75
2019-08-16,99.74
2019-08-19,100.46
2019-08-20,99.34
2019-08-21,99.91
2019-08-22,99.35
2019-08-23,97.6
2019-08-26,97.88
2019-08-27,97.92
2019-08-28,98.3
2019-08-29,99.42
2019-08-30,99.58
2019-09-03,99.43
2019-09-04,99.38
2019-09-05,100.69
2019-09-06,100.94
2019-09-09,101.24
2019-09-10,102.32
2019-09-11,104.65
2019-09-12,104.18
2019-09-13,105.25
2019-09-16,105.39
2019-09-17,105.89
2019-09-18,106.29
2019-09-19,106.89
2019-09-20,107.96
2019-09-23,107.36
2019-09-24,106.83
2019-09-25,107.37
2019-09-26,107.46
2019-09-27,107.45
2019-09-30,107.47
2019-10-01,106.73
2019-10-02,105.31
2019-10-03,105.18
2019-10-04,105.85
2019-10-07,105.59
2019-10-08,104.48
2019-10-09,105.49
2019-10-10,105.76
2019-10-11,106.33
2019-10-15,107.02
2019-10-16,107.16
2019-10-17,106.63
2019-10-18,106.95
2019-10-21,107.7
2019-10-22,107.27
2019-10-23,106.27
2019-10-24,105.81
2019-10-25,106.02
2019-10-28,105.92
2019-10-29,106.04
2019-10-30,106.5
2019-10-31,106.24
2019-11-01,106.65
2019-11-04,107.38
2019-11-05,107.9
2019-11-06,108.1
2019-11-07,108.46
2019-11-08,108.44
2019-11-11,108.2
2019-11-12,108.28
2019-11-13,108.2
2019-11-14,108.27
2019-11-15,108.81
2019-11-18,108.8
2019-11-19,108.86
2019-11-20,108.84
2019-11-21,109.16
2019-11-22,109.25
2019-11-25,109.36
2019-11-26,108.62
2019-11-27,108.8
2019-11-28,108.67
2019-11-29,108.73
2019-12-02,108.06
2019-12-03,107.18
2019-12-04,104.95
2019-12-05,104.76
2019-12-06,104.99
2019-12-09,104.45
2019-12-10,103.97
2019-12-11,103.73
2019-12-12,103.75
2019-12-13,104.84
2019-12-16,104.8
2019-12-17,104.75
2019-12-18,103.89
2019-12-19,103.83
2019-12-20,104.41
2019-12-23,103.52
2019-12-24,103.43
2019-12-27,103.47
2019-12-30,103.18
2019-12-31,102.75
2020-01-02,103.35
2020-01-03,103.17
2020-01-06,103.19
2020-01-07,103.23
2020-01-08,104.05
2020-01-09,104.43
2020-01-10,104.3
2020-01-13,104.71
2020-01-14,105.05
2020-01-15,105.45
2020-01-16,106.15
2020-01-17,106.55
2020-01-20,107.06
2020-01-21,106.79
2020-01-22,106.73
2020-01-23,107.31
2020-01-24,105.77
2020-01-27,105.35
2020-01-28,105.7
2020-01-29,105.78
2020-01-30,105.54
2020-01-31,104.58
2020-02-03,104.76
2020-02-04,106.44
2020-02-05,106.95
2020-02-06,107.63
2020-02-07,107.24
2020-02-10,107.42
2020-02-11,107.77
2020-02-12,108.06
2020-02-13,108.31
2020-02-14,108.3
2020-02-18,107.85
2020-02-19,107.76
2020-02-20,108.0
2020-02-21,109.21
2020-02-24,108.32
2020-02-25,106.22
2020-02-26,103.97
2020-02-27,101.84
2020-02-28,99.82
2020-03-02,102.29
2020-03-03,100.58
2020-03-04,101.18
2020-03-05,99.8
2020-03-06,97.5
2020-03-09,89.35
2020-03-10,92.38
2020-03-11,87.87
2020-03-12,78.61
2020-03-13,90.32
2020-03-16,83.85
2020-03-17,89.1
2020-03-18,80.0
2020-03-19,82.1
2020-03-20,79.75
2020-03-23,72.25
2020-03-24,81.75
2020-03-25,85.0
2020-03-26,86.41
2020-03-27,82.54
