Dates,PX_LAST
2018-11-16,72.62
2018-11-19,71.71
2018-11-20,70.45
2018-11-21,71.12
2018-11-22,71.04
2018-11-23,71.45
2018-11-26,71.75
2018-11-27,71.95
2018-11-28,73.6
2018-11-29,73.48
2018-11-30,73.56
2018-12-03,73.06
2018-12-04,71.84
2018-12-05,72.05
2018-12-06,70.54
2018-12-07,69.83
2018-12-10,69.55
2018-12-11,69.39
2018-12-12,69.75
2018-12-13,69.72
2018-12-14,69.58
2018-12-17,68.8
2018-12-18,68.63
2018-12-19,67.58
2018-12-20,67.19
2018-12-21,66.15
2018-12-24,65.56
2018-12-27,67.51
2018-12-28,67.63
2018-12-31,67.86
2019-01-02,68.18
2019-01-03,67.3
2019-01-04,67.98
2019-01-07,67.69
2019-01-08,67.82
2019-01-09,68.14
2019-01-10,68.8
2019-01-11,68.83
2019-01-14,68.65
2019-01-15,69.33
2019-01-16,70.63
2019-01-17,71.34
2019-01-18,72.34
2019-01-21,72.9
2019-01-22,72.41
2019-01-23,72.2
2019-01-24,72.66
2019-01-25,72.83
2019-01-28,73.17
2019-01-29,73.71
2019-01-30,73.73
2019-01-31,74.0
2019-02-01,73.77
2019-02-04,74.26
2019-02-05,74.54
2019-02-06,74.78
2019-02-07,74.57
2019-02-08,74.62
2019-02-11,73.97
2019-02-12,74.63
2019-02-13,74.87
2019-02-14,74.61
2019-02-15,75.36
2019-02-19,75.69
2019-02-20,76.29
2019-02-21,76.33
2019-02-22,76.22
2019-02-25,76.57
2019-02-26,76.72
2019-02-27,77.3
2019-02-28,75.46
2019-03-01,75.16
2019-03-04,75.02
2019-03-05,75.07
2019-03-06,74.93
2019-03-07,74.59
2019-03-08,74.83
2019-03-11,75.12
2019-03-12,75.28
2019-03-13,75.16
2019-03-14,75.03
2019-03-15,75.57
2019-03-18,76.25
2019-03-19,75.82
2019-03-20,75.46
2019-03-21,74.86
2019-03-22,74.0
2019-03-25,73.88
2019-03-26,73.66
2019-03-27,73.34
2019-03-28,73.05
2019-03-29,72.52
2019-04-01,73.91
2019-04-02,74.25
2019-04-03,74.58
2019-04-04,74.75
2019-04-05,74.97
2019-04-08,75.02
2019-04-09,73.72
2019-04-10,73.76
2019-04-11,73.68
2019-04-12,74.47
2019-04-15,74.86
2019-04-16,75.45
2019-04-17,75.63
2019-04-18,75.75
2019-04-22,75.52
2019-04-23,75.43
2019-04-24,74.87
2019-04-25,75.06
2019-04-26,75.44
2019-04-29,76.17
2019-04-30,76.42
2019-05-01,76.21
2019-05-02,76.12
2019-05-03,76.48
2019-05-06,76.38
2019-05-07,75.53
2019-05-08,75.1
2019-05-09,74.64
2019-05-10,74.28
2019-05-13,73.73
2019-05-14,73.96
2019-05-15,73.98
2019-05-16,74.41
2019-05-17,74.37
2019-05-21,74.37
2019-05-22,73.85
2019-05-23,75.45
2019-05-24,76.1
2019-05-27,76.52
2019-05-28,76.25
2019-05-29,75.16
2019-05-30,74.88
2019-05-31,73.9
2019-06-03,73.71
2019-06-04,74.74
2019-06-05,75.24
2019-06-06,75.4
2019-06-07,75.33
2019-06-10,75.39
2019-06-11,75.72
2019-06-12,75.0
2019-06-13,75.15
2019-06-14,75.91
2019-06-17,75.97
2019-06-18,76.9
2019-06-19,76.97
2019-06-20,76.75
2019-06-21,76.5
2019-06-24,76.8
2019-06-25,76.3
2019-06-26,76.21
2019-06-27,76.12
2019-06-28,76.52
2019-07-02,77.05
2019-07-03,77.54
2019-07-04,77.74
2019-07-05,77.65
2019-07-08,77.42
2019-07-09,76.84
2019-07-10,76.42
2019-07-11,76.67
2019-07-12,76.53
2019-07-15,76.56
2019-07-16,76.71
2019-07-17,76.77
2019-07-18,77.0
2019-07-19,76.77
2019-07-22,76.87
2019-07-23,77.26
2019-07-24,77.53
2019-07-25,77.23
2019-07-26,77.24
2019-07-29,77.39
2019-07-30,77.1
2019-07-31,77.15
2019-08-01,76.02
2019-08-02,75.29
2019-08-06,74.54
2019-08-07,74.36
2019-08-08,75.04
2019-08-09,74.68
2019-08-12,73.93
2019-08-13,74.57
2019-08-14,72.81
2019-08-15,71.84
2019-08-16,72.52
2019-08-19,73.12
2019-08-20,72.13
2019-08-21,72.48
2019-08-22,72.64
2019-08-23,71.58
2019-08-26,71.92
2019-08-27,71.83
2019-08-28,72.0
2019-08-29,71.87
2019-08-30,72.2
2019-09-03,71.6
2019-09-04,71.69
2019-09-05,72.41
2019-09-06,72.94
2019-09-09,73.19
2019-09-10,74.01
2019-09-11,74.32
2019-09-12,74.77
2019-09-13,75.21
2019-09-16,75.27
2019-09-17,75.69
2019-09-18,76.03
2019-09-19,76.3
2019-09-20,76.58
2019-09-23,76.48
2019-09-24,76.1
2019-09-25,76.05
2019-09-26,76.24
2019-09-27,76.79
2019-09-30,77.25
2019-10-01,75.2
2019-10-02,73.44
2019-10-03,73.27
2019-10-04,73.8
2019-10-07,71.8
2019-10-08,73.16
2019-10-09,72.86
2019-10-10,73.03
2019-10-11,73.81
2019-10-15,74.32
2019-10-16,74.35
2019-10-17,73.98
2019-10-18,74.1
2019-10-21,74.33
2019-10-22,74.67
2019-10-23,74.6
2019-10-24,74.79
2019-10-25,75.16
2019-10-28,75.15
2019-10-29,75.22
2019-10-30,75.26
2019-10-31,75.21
2019-11-01,75.34
2019-11-04,76.03
2019-11-05,75.89
2019-11-06,76.21
2019-11-07,76.34
2019-11-08,76.55
2019-11-11,76.69
2019-11-12,76.6
2019-11-13,76.36
2019-11-14,76.34
2019-11-15,76.72
2019-11-18,76.72
2019-11-19,76.98
2019-11-20,76.55
2019-11-21,77.24
2019-11-22,77.06
2019-11-25,77.54
2019-11-26,76.92
2019-11-27,76.87
2019-11-28,76.94
2019-11-29,76.59
2019-12-02,76.25
2019-12-03,75.72
2019-12-04,75.67
2019-12-05,73.02
2019-12-06,73.43
2019-12-09,72.88
2019-12-10,72.97
2019-12-11,72.84
2019-12-12,73.3
2019-12-13,74.31
2019-12-16,74.45
2019-12-17,74.72
2019-12-18,74.01
2019-12-19,73.59
2019-12-20,73.86
2019-12-23,73.54
2019-12-24,73.55
2019-12-27,73.39
2019-12-30,73.12
2019-12-31,72.83
2020-01-02,73.42
2020-01-03,73.36
2020-01-06,73.37
2020-01-07,73.29
2020-01-08,73.86
2020-01-09,73.19
2020-01-10,73.0
2020-01-13,73.14
2020-01-14,72.85
2020-01-15,73.39
2020-01-16,73.96
2020-01-17,74.12
2020-01-20,74.2
2020-01-21,73.96
2020-01-22,74.11
2020-01-23,74.17
2020-01-24,74.2
2020-01-27,73.98
2020-01-28,74.17
2020-01-29,74.02
2020-01-30,73.77
2020-01-31,73.14
2020-02-03,73.11
2020-02-04,74.39
2020-02-05,75.22
2020-02-06,75.73
2020-02-07,75.75
2020-02-10,75.58
2020-02-11,75.6
2020-02-12,75.35
2020-02-13,74.97
2020-02-14,75.29
2020-02-18,75.3
2020-02-19,75.6
2020-02-20,75.98
2020-02-21,75.77
2020-02-24,74.81
2020-02-25,73.49
2020-02-26,73.1
2020-02-27,70.89
2020-02-28,69.04
2020-03-02,69.51
2020-03-03,67.85
2020-03-04,68.64
2020-03-05,67.29
2020-03-06,65.45
2020-03-09,57.38
2020-03-10,60.2
2020-03-11,58.0
2020-03-12,51.84
2020-03-13,61.11
2020-03-16,54.0
2020-03-17,57.71
2020-03-18,54.03
2020-03-19,54.38
2020-03-20,53.11
2020-03-23,49.28
2020-03-24,55.95
2020-03-25,59.6
2020-03-26,60.0
2020-03-27,56.77
2020-03-30,58.46
2020-03-31,59.83
2020-04-01,56.8
2020-04-02,56.9
2020-04-03,55.79
2020-04-06,58.98
2020-04-07,59.8
2020-04-08,60.01
2020-04-09,60.23
2020-04-13,58.42
2020-04-14,58.75
2020-04-15,56.66
2020-04-16,54.52
2020-04-17,56.92
2020-04-20,56.97
2020-04-21,54.49
2020-04-22,54.86
2020-04-23,54.31
2020-04-24,54.87
2020-04-27,56.85
2020-04-28,57.92
2020-04-29,60.33
2020-04-30,58.16
2020-05-01,57.04
2020-05-04,57.49
2020-05-05,56.99
2020-05-06,56.78
2020-05-07,56.25
2020-05-08,57.03
2020-05-11,57.87
2020-05-12,56.75
2020-05-13,54.75
2020-05-14,55.23
2020-05-15,55.1
2020-05-19,56.14
2020-05-20,56.85
2020-05-21,56.21
2020-05-22,55.52
2020-05-25,56.89
2020-05-26,59.81
2020-05-27,62.52
2020-05-28,60.29
2020-05-29,58.98
2020-06-01,60.05
2020-06-02,60.79
2020-06-03,62.43
2020-06-04,62.37
2020-06-05,65.01
2020-06-08,65.69
2020-06-09,64.9
2020-06-10,63.63
2020-06-11,60.71
2020-06-12,62.41
2020-06-15,61.85
2020-06-16,62.46
2020-06-17,61.94
2020-06-18,61.8
2020-06-19,61.57
2020-06-22,61.4
2020-06-23,61.71
2020-06-24,60.29
2020-06-25,60.97
2020-06-26,59.52
2020-06-29,60.32
2020-06-30,60.59
2020-07-02,60.6
2020-07-03,60.65
2020-07-06,61.17
2020-07-07,60.22
2020-07-08,60.3
2020-07-09,58.74
2020-07-10,59.92
2020-07-13,60.76
2020-07-14,60.87
2020-07-15,61.8
2020-07-16,61.8
2020-07-17,61.68
2020-07-20,61.72
2020-07-21,61.92
2020-07-22,61.5
2020-07-23,61.23
2020-07-24,60.58
2020-07-27,60.08
2020-07-28,59.64
2020-07-29,59.91
2020-07-30,59.91
2020-07-31,59.27
2020-08-04,59.57
2020-08-05,60.18
2020-08-06,60.49
2020-08-07,61.2
2020-08-10,62.0
2020-08-11,63.13
2020-08-12,63.97
2020-08-13,63.48
2020-08-14,63.43
2020-08-17,62.96
2020-08-18,62.4
2020-08-19,62.43
2020-08-20,62.2
2020-08-21,62.2
2020-08-24,64.01
2020-08-25,64.55
2020-08-26,66.37
2020-08-27,66.4
2020-08-28,65.78
2020-08-31,65.07
2020-09-01,64.99
2020-09-02,64.94
2020-09-03,64.17
2020-09-04,63.42
2020-09-08,63.07
2020-09-09,63.68
2020-09-10,63.01
2020-09-11,63.31
2020-09-14,63.38
2020-09-15,63.21
2020-09-16,62.56
2020-09-17,62.53
2020-09-18,62.08
2020-09-21,60.8
2020-09-22,60.92
2020-09-23,60.17
2020-09-24,60.84
2020-09-25,61.32
2020-09-28,62.37
2020-09-29,61.57
2020-09-30,61.65
2020-10-01,61.79
2020-10-02,62.5
2020-10-05,63.48
2020-10-06,63.28
2020-10-07,63.41
2020-10-08,62.71
2020-10-09,61.54
2020-10-13,60.48
2020-10-14,60.03
2020-10-15,60.56
2020-10-16,60.42
2020-10-19,59.35
2020-10-20,59.24
2020-10-21,59.16
2020-10-22,60.02
2020-10-23,60.53
2020-10-26,59.77
2020-10-27,58.74
2020-10-28,57.82
2020-10-29,58.8
2020-10-30,58.78
2020-11-02,59.02
2020-11-03,59.95
2020-11-04,59.91
2020-11-05,59.43
2020-11-06,59.52
2020-11-09,62.89
2020-11-10,64.48
2020-11-11,64.99
2020-11-12,64.5
2020-11-13,64.89
2020-11-16,66.22
2020-11-17,67.2
2020-11-18,68.3
2020-11-19,68.41
2020-11-20,68.86
2020-11-23,69.8
2020-11-24,71.18
2020-11-25,71.07
2020-11-26,70.91
2020-11-27,70.9
2020-11-30,69.8
2020-12-01,70.71
2020-12-02,70.78
2020-12-03,70.67
2020-12-04,70.9
2020-12-07,71.04
2020-12-08,71.52
2020-12-09,72.37
2020-12-10,72.35
2020-12-11,71.88
2020-12-14,71.69
2020-12-15,71.92
2020-12-16,72.02
2020-12-17,71.97
2020-12-18,71.78
2020-12-21,71.5
2020-12-22,71.01
2020-12-23,71.73
2020-12-24,71.86
2020-12-29,72.14
2020-12-30,72.02
2020-12-31,71.92
2021-01-04,71.94
2021-01-05,72.31
2021-01-06,74.36
2021-01-07,74.06
2021-01-08,74.11
2021-01-11,74.2
2021-01-12,74.8
2021-01-13,74.61
2021-01-14,75.6
2021-01-15,75.42
2021-01-18,75.42
2021-01-19,74.98
2021-01-20,74.85
2021-01-21,74.49
2021-01-22,73.58
2021-01-25,73.51
2021-01-26,73.78
2021-01-27,72.97
2021-01-28,73.85
2021-01-29,72.46
2021-02-01,72.75
2021-02-02,73.9
2021-02-03,74.2
2021-02-04,74.67
2021-02-05,74.6
2021-02-08,75.13
2021-02-09,75.06
2021-02-10,75.01
2021-02-11,75.16
2021-02-12,75.42
2021-02-16,75.65
2021-02-17,75.51
2021-02-18,75.5
2021-02-19,76.38
2021-02-22,76.84
2021-02-23,78.03
2021-02-24,79.4
2021-02-25,78.07
2021-02-26,77.14
2021-03-01,77.77
2021-03-02,78.38
2021-03-03,78.92
2021-03-04,78.35
2021-03-05,79.51
2021-03-08,80.79
2021-03-09,80.83
2021-03-10,81.15
2021-03-11,81.26
2021-03-12,81.65
2021-03-15,82.06
2021-03-16,82.15
2021-03-17,82.25
2021-03-18,83.02
2021-03-19,82.42
2021-03-22,82.14
2021-03-23,81.72
2021-03-24,81.57
2021-03-25,82.12
2021-03-26,82.88
2021-03-29,82.46
2021-03-30,82.63
2021-03-31,81.96
2021-04-01,82.46
2021-04-05,83.47
2021-04-06,83.45
2021-04-07,83.66
2021-04-08,82.68
2021-04-09,82.88
2021-04-12,83.6
2021-04-13,83.12
2021-04-14,82.96
2021-04-15,82.62
2021-04-16,82.88
2021-04-19,82.31
2021-04-20,81.96
2021-04-21,82.68
2021-04-22,82.75
2021-04-23,84.21
2021-04-26,84.14
2021-04-27,84.59
2021-04-28,84.69
2021-04-29,85.12
2021-04-30,84.5
2021-05-03,84.15
2021-05-04,84.3
2021-05-05,85.23
2021-05-06,85.91
2021-05-07,86.1
2021-05-10,85.8
2021-05-11,85.55
2021-05-12,85.79
2021-05-13,87.03
2021-05-14,87.73
2021-05-17,88.37
2021-05-18,88.23
2021-05-19,87.59
2021-05-20,87.85
2021-05-21,88.11
2021-05-25,88.12
2021-05-26,88.81
2021-05-27,86.59
2021-05-28,87.07
2021-05-31,86.9
2021-06-01,87.66
2021-06-02,87.59
2021-06-03,87.82
2021-06-04,87.96
2021-06-07,87.92
2021-06-08,87.99
2021-06-09,87.37
2021-06-10,87.08
2021-06-11,87.26
2021-06-14,86.93
2021-06-15,87.5
2021-06-16,87.84
2021-06-17,87.56
2021-06-18,87.09
2021-06-21,87.56
2021-06-22,87.12
2021-06-23,87.0
2021-06-24,87.17
2021-06-25,87.7
2021-06-28,86.91
2021-06-29,86.94
2021-06-30,86.87
2021-07-02,87.0
2021-07-05,87.64
2021-07-06,87.25
2021-07-07,86.94
2021-07-08,83.75
2021-07-09,84.7
2021-07-12,85.05
2021-07-13,84.7
2021-07-14,84.65
2021-07-15,84.65
2021-07-16,84.02
2021-07-19,81.81
2021-07-20,82.34
2021-07-21,82.85
2021-07-22,82.41
2021-07-23,82.68
2021-07-26,82.69
2021-07-27,83.09
2021-07-28,83.25
2021-07-29,83.7
2021-07-30,82.95
2021-08-03,83.62
2021-08-04,83.39
2021-08-05,83.7
2021-08-06,84.78
2021-08-09,84.59
2021-08-10,85.74
2021-08-11,86.52
2021-08-12,86.45
2021-08-13,86.12
2021-08-16,86.27
2021-08-17,85.94
2021-08-18,85.65
2021-08-19,85.57
2021-08-20,86.13
2021-08-23,86.24
2021-08-24,85.77
2021-08-25,85.75
2021-08-26,83.7
2021-08-27,83.3
2021-08-30,82.76
2021-08-31,81.93
2021-09-01,82.13
2021-09-02,82.49
2021-09-03,82.45
2021-09-07,83.03
2021-09-08,82.45
2021-09-09,82.49
2021-09-10,82.2
2021-09-13,82.12
2021-09-14,81.76
2021-09-15,82.5
2021-09-16,82.94
2021-09-17,82.48
2021-09-20,81.86
2021-09-21,82.1
2021-09-22,82.2
2021-09-23,83.19
2021-09-24,83.26
2021-09-27,84.65
2021-09-28,84.96
2021-09-29,84.93
2021-09-30,83.85
2021-10-01,85.37
2021-10-04,85.08
2021-10-05,85.89
2021-10-06,85.5
2021-10-07,85.42
2021-10-08,86.29
2021-10-12,85.69
2021-10-13,85.04
2021-10-14,85.51
2021-10-15,87.01
2021-10-18,87.38
2021-10-19,88.68
2021-10-20,89.1
2021-10-21,88.93
2021-10-22,89.15
2021-10-25,89.54
2021-10-26,90.3
2021-10-27,89.77
2021-10-28,89.74
2021-10-29,89.84
2021-11-01,90.42
2021-11-02,90.36
2021-11-03,91.12
2021-11-04,91.25
2021-11-05,91.45
2021-11-08,91.77
2021-11-09,91.65
2021-11-10,92.22
2021-11-11,92.8
2021-11-12,93.39
2021-11-15,93.31
2021-11-16,93.23
2021-11-17,92.56
2021-11-18,92.27
2021-11-19,91.83
2021-11-22,92.96
2021-11-23,95.22
2021-11-24,95.77
2021-11-25,96.11
2021-11-26,94.57
2021-11-29,93.59
2021-11-30,91.75
2021-12-01,91.98
2021-12-02,96.5
2021-12-03,95.59
2021-12-06,94.45
2021-12-07,94.9
2021-12-08,95.45
2021-12-09,95.44
2021-12-10,95.33
2021-12-13,95.09
2021-12-14,94.75
2021-12-15,95.23
2021-12-16,95.56
2021-12-17,94.12
2021-12-20,93.98
2021-12-21,94.7
2021-12-22,95.41
2021-12-23,96.21
2021-12-24,96.3
2021-12-29,97.51
2021-12-30,97.24
2021-12-31,96.98
2022-01-04,99.6
2022-01-05,99.95
2022-01-06,100.56
2022-01-07,100.14
2022-01-10,99.61
2022-01-11,100.65
2022-01-12,101.43
2022-01-13,101.73
2022-01-14,102.46
2022-01-17,104.15
2022-01-18,103.29
2022-01-19,101.63
2022-01-20,101.76
2022-01-21,100.3
2022-01-24,99.21
2022-01-25,99.87
2022-01-26,100.22
2022-01-27,100.69
2022-01-28,100.21
2022-01-31,101.41
2022-02-01,103.5
2022-02-02,105.17
2022-02-03,105.21
2022-02-04,105.62
2022-02-07,106.13
2022-02-08,107.51
2022-02-09,107.25
2022-02-10,107.84
2022-02-11,107.81
2022-02-14,106.27
2022-02-15,106.9
2022-02-16,107.75
2022-02-17,106.59
2022-02-18,106.23
2022-02-22,106.05
2022-02-23,104.65
2022-02-24,102.34
2022-02-25,104.68
2022-02-28,102.28
2022-03-01,98.91
2022-03-02,101.49
2022-03-03,98.3
2022-03-04,98.54
2022-03-07,97.19
2022-03-08,96.32
2022-03-09,98.44
2022-03-10,98.36
2022-03-11,98.06
2022-03-14,98.98
2022-03-15,99.92
2022-03-16,101.11
2022-03-17,102.19
2022-03-18,101.79
2022-03-21,102.8
2022-03-22,102.91
2022-03-23,101.06
2022-03-24,100.89
2022-03-25,101.81
2022-03-28,101.97
2022-03-29,101.57
2022-03-30,101.43
2022-03-31,99.25
2022-04-01,99.47
2022-04-04,100.49
2022-04-05,100.19
2022-04-06,99.14
2022-04-07,96.43
2022-04-08,96.73
2022-04-11,96.68
2022-04-12,94.59
2022-04-13,93.8
2022-04-14,93.99
2022-04-18,93.68
2022-04-19,94.45
2022-04-20,95.15
2022-04-21,94.67
2022-04-22,93.23
2022-04-25,93.06
2022-04-26,91.37
2022-04-27,90.66
2022-04-28,93.63
2022-04-29,92.79
2022-05-02,92.67
2022-05-03,93.67
2022-05-04,94.24
2022-05-05,93.35
2022-05-06,92.97
2022-05-09,92.49
2022-05-10,91.96
2022-05-11,92.67
2022-05-12,91.97
2022-05-13,91.92
2022-05-16,92.14
2022-05-17,93.88
2022-05-18,92.45
2022-05-19,91.76
2022-05-20,92.1
2022-05-24,92.42
2022-05-25,93.76
2022-05-26,95.23
2022-05-27,95.99
2022-05-30,96.91
2022-05-31,96.66
2022-06-01,95.99
2022-06-02,96.81
2022-06-03,95.53
2022-06-06,95.87
2022-06-07,95.78
2022-06-08,94.85
2022-06-09,93.27
2022-06-10,91.62
2022-06-13,90.31
2022-06-14,89.42
2022-06-15,89.16
2022-06-16,86.17
2022-06-17,86.44
2022-06-20,87.33
2022-06-21,87.51
2022-06-22,86.84
2022-06-23,84.01
2022-06-24,83.74
2022-06-27,84.85
2022-06-28,84.77
2022-06-29,84.89
2022-06-30,84.41
2022-07-04,84.04
2022-07-05,83.82
2022-07-06,83.15
2022-07-07,82.5
2022-07-08,83.28
2022-07-11,81.84
2022-07-12,80.83
2022-07-13,79.84
2022-07-14,78.17
2022-07-15,78.89
2022-07-18,79.66
2022-07-19,81.98
2022-07-20,82.16
2022-07-21,82.24
2022-07-22,82.03
2022-07-25,82.47
2022-07-26,81.4
2022-07-27,82.44
2022-07-28,82.07
2022-07-29,83.18
2022-08-02,82.9
2022-08-03,83.93
2022-08-04,83.03
2022-08-05,83.44
2022-08-08,83.27
2022-08-09,82.78
2022-08-10,84.72
2022-08-11,85.01
2022-08-12,86.45
2022-08-15,87.13
2022-08-16,88.47
2022-08-17,88.28
2022-08-18,88.43
2022-08-19,87.34
2022-08-22,85.78
2022-08-23,85.79
2022-08-24,85.43
2022-08-25,86.06
2022-08-26,86.87
2022-08-29,86.13
2022-08-30,86.12
2022-08-31,84.49
2022-09-01,84.62
2022-09-02,85.53
2022-09-06,84.11
2022-09-07,85.13
2022-09-08,86.22
2022-09-09,88.07
2022-09-12,89.06
2022-09-13,87.09
2022-09-14,87.61
2022-09-15,88.01
2022-09-16,87.93
2022-09-19,88.36
2022-09-20,87.79
2022-09-21,86.05
2022-09-22,86.22
2022-09-23,84.37
2022-09-26,84.94
2022-09-27,84.4
2022-09-28,85.46
2022-09-29,85.07
2022-09-30,84.72
2022-10-03,86.37
2022-10-04,87.99
2022-10-05,87.48
2022-10-06,83.43
2022-10-07,82.24
2022-10-11,80.83
2022-10-12,80.98
2022-10-13,84.31
2022-10-14,84.91
2022-10-17,85.38
2022-10-18,86.68
2022-10-19,85.77
2022-10-20,84.92
2022-10-21,86.26
2022-10-24,86.57
2022-10-25,87.32
2022-10-26,87.11
2022-10-27,87.27
2022-10-28,87.71
2022-10-31,86.62
2022-11-01,87.75
2022-11-02,87.05
2022-11-03,86.61
2022-11-04,87.97
2022-11-07,88.36
2022-11-08,88.38
2022-11-09,87.6
2022-11-10,89.29
2022-11-11,88.44
2022-11-14,87.9
2022-11-15,87.72
2022-11-16,88.13
2022-11-17,88.73
2022-11-18,89.42
2022-11-21,89.76
2022-11-22,90.74
2022-11-23,90.94
2022-11-24,90.96
2022-11-25,91.02
2022-11-28,89.97
2022-11-29,89.59
2022-11-30,89.53
2022-12-01,91.84
2022-12-02,92.36
2022-12-05,91.26
2022-12-06,90.09
2022-12-07,89.36
2022-12-08,89.89
2022-12-09,90.4
2022-12-12,91.1
2022-12-13,88.65
2022-12-14,87.5
2022-12-15,86.9
2022-12-16,86.63
2022-12-19,86.61
2022-12-20,87.56
2022-12-21,88.1
2022-12-22,87.82
2022-12-23,88.33
2022-12-28,87.56
2022-12-29,88.54
2022-12-30,87.67
2023-01-03,87.67
2023-01-04,88.81
2023-01-05,86.41
2023-01-06,86.43
2023-01-09,86.04
2023-01-10,86.0
2023-01-11,86.46
2023-01-12,88.2
2023-01-13,88.84
2023-01-16,89.1
2023-01-17,89.95
2023-01-18,89.03
2023-01-19,88.57
2023-01-20,89.18
2023-01-23,89.65
2023-01-24,89.87
2023-01-25,90.11
2023-01-26,90.77
2023-01-27,91.44
2023-01-30,90.65
2023-01-31,92.15
2023-02-01,91.49
2023-02-02,91.95
2023-02-03,92.42
2023-02-06,91.7
2023-02-07,92.82
2023-02-08,92.88
2023-02-09,92.67
2023-02-10,93.01
2023-02-13,93.56
2023-02-14,93.15
2023-02-15,93.02
2023-02-16,92.65
2023-02-17,92.87
2023-02-21,91.99
2023-02-22,91.33
2023-02-23,90.41
2023-02-24,91.11
2023-02-27,90.55
2023-02-28,90.85
2023-03-01,90.66
2023-03-02,88.46
2023-03-03,89.05
2023-03-06,88.77
2023-03-07,87.27
2023-03-08,87.19
2023-03-09,85.62
2023-03-10,83.77
2023-03-13,80.9
2023-03-14,81.0
2023-03-15,79.4
2023-03-16,79.33
2023-03-17,77.9
2023-03-20,77.75
2023-03-21,78.49
2023-03-22,78.09
2023-03-23,77.33
2023-03-24,77.64
2023-03-27,79.14
2023-03-28,79.86
2023-03-29,80.34
2023-03-30,80.34
2023-03-31,80.95
2023-04-03,82.68
2023-04-04,81.41
2023-04-05,79.41
2023-04-06,79.65
2023-04-10,80.0
2023-04-11,81.46
2023-04-12,80.73
2023-04-13,80.87
