id,gx_id,ticker,ex_date,payable_date,dvd_amount,currency
888,NULL,BMO CN,2024-04-26 00:00:00.000,2024-05-28 00:00:00.000,1.51,CAD
889,NULL,BMO CN,2024-01-29 00:00:00.000,2024-02-27 00:00:00.000,1.51,CAD
890,NULL,BMO CN,2023-10-27 00:00:00.000,2023-11-28 00:00:00.000,1.47,CAD
891,NULL,BMO CN,2023-07-27 00:00:00.000,2023-08-28 00:00:00.000,1.47,CAD
892,NULL,BMO CN,2023-04-27 00:00:00.000,2023-05-26 00:00:00.000,1.43,CAD
893,NULL,BMO CN,2023-01-27 00:00:00.000,2023-02-28 00:00:00.000,1.43,CAD
894,NULL,BMO CN,2022-10-31 00:00:00.000,2022-11-28 00:00:00.000,1.39,CAD
895,NULL,BMO CN,2022-07-29 00:00:00.000,2022-08-26 00:00:00.000,1.39,CAD
896,NULL,BMO CN,2022-04-29 00:00:00.000,2022-05-26 00:00:00.000,1.33,CAD
897,NULL,BMO CN,2022-01-31 00:00:00.000,2022-02-28 00:00:00.000,1.33,CAD
898,NULL,BMO CN,2021-10-29 00:00:00.000,2021-11-26 00:00:00.000,1.06,CAD
899,NULL,BMO CN,2021-07-30 00:00:00.000,2021-08-26 00:00:00.000,1.06,CAD
900,NULL,BMO CN,2021-04-30 00:00:00.000,2021-05-26 00:00:00.000,1.06,CAD
901,NULL,BMO CN,2021-01-29 00:00:00.000,2021-02-26 00:00:00.000,1.06,CAD
902,NULL,BMO CN,2020-10-30 00:00:00.000,2020-11-26 00:00:00.000,1.06,CAD
903,NULL,BMO CN,2020-07-31 00:00:00.000,2020-08-26 00:00:00.000,1.06,CAD
904,NULL,BMO CN,2020-04-30 00:00:00.000,2020-05-26 00:00:00.000,1.06,CAD
905,NULL,BMO CN,2020-01-31 00:00:00.000,2020-02-26 00:00:00.000,1.06,CAD
906,NULL,BMO CN,2019-10-31 00:00:00.000,2019-11-26 00:00:00.000,1.03,CAD
907,NULL,BMO CN,2019-07-31 00:00:00.000,2019-08-27 00:00:00.000,1.03,CAD
908,NULL,BMO CN,2019-04-30 00:00:00.000,2019-05-28 00:00:00.000,1,CAD
909,NULL,BMO CN,2019-01-31 00:00:00.000,2019-02-26 00:00:00.000,1,CAD
910,NULL,BMO CN,2018-10-31 00:00:00.000,2018-11-27 00:00:00.000,0.96,CAD
911,NULL,BMO CN,2018-07-31 00:00:00.000,2018-08-28 00:00:00.000,0.96,CAD
912,NULL,BMO CN,2018-04-30 00:00:00.000,2018-05-28 00:00:00.000,0.93,CAD
913,NULL,BMO CN,2018-01-31 00:00:00.000,2018-02-27 00:00:00.000,0.93,CAD
914,NULL,BMO CN,2017-10-31 00:00:00.000,2017-11-28 00:00:00.000,0.9,CAD
915,NULL,BMO CN,2017-07-28 00:00:00.000,2017-08-28 00:00:00.000,0.9,CAD
916,NULL,BMO CN,2017-04-27 00:00:00.000,2017-05-26 00:00:00.000,0.88,CAD
917,NULL,BMO CN,2017-01-30 00:00:00.000,2017-02-28 00:00:00.000,0.88,CAD
918,NULL,BMO CN,2016-10-28 00:00:00.000,2016-11-28 00:00:00.000,0.86,CAD
919,NULL,BMO CN,2016-07-27 00:00:00.000,2016-08-26 00:00:00.000,0.86,CAD
920,NULL,BMO CN,2016-04-28 00:00:00.000,2016-05-26 00:00:00.000,0.84,CAD
921,NULL,BMO CN,2016-01-28 00:00:00.000,2016-02-26 00:00:00.000,0.84,CAD
922,NULL,BMO CN,2015-10-29 00:00:00.000,2015-11-26 00:00:00.000,0.82,CAD
923,NULL,BMO CN,2015-07-29 00:00:00.000,2015-08-26 00:00:00.000,0.82,CAD
924,NULL,BMO CN,2015-04-29 00:00:00.000,2015-05-26 00:00:00.000,0.8,CAD
925,NULL,BMO CN,2015-01-29 00:00:00.000,2015-02-26 00:00:00.000,0.8,CAD
926,NULL,BMO CN,2014-10-30 00:00:00.000,2014-11-26 00:00:00.000,0.78,CAD
927,NULL,BMO CN,2014-07-30 00:00:00.000,2014-08-26 00:00:00.000,0.78,CAD
928,NULL,BMO CN,2014-04-29 00:00:00.000,2014-05-27 00:00:00.000,0.76,CAD
929,NULL,BMO CN,2014-01-30 00:00:00.000,2014-02-26 00:00:00.000,0.76,CAD
930,NULL,BMO CN,2013-10-30 00:00:00.000,2013-11-26 00:00:00.000,0.74,CAD
931,NULL,BMO CN,2013-07-30 00:00:00.000,2013-08-27 00:00:00.000,0.74,CAD
932,NULL,BMO CN,2013-04-29 00:00:00.000,2013-05-28 00:00:00.000,0.74,CAD
933,NULL,BMO CN,2013-01-30 00:00:00.000,2013-02-26 00:00:00.000,0.72,CAD
934,NULL,BMO CN,2012-10-30 00:00:00.000,2012-11-28 00:00:00.000,0.72,CAD
935,NULL,BMO CN,2012-07-30 00:00:00.000,2012-08-28 00:00:00.000,0.7,CAD
936,NULL,BMO CN,2012-04-27 00:00:00.000,2012-05-28 00:00:00.000,0.7,CAD
937,NULL,BMO CN,2012-01-30 00:00:00.000,2012-02-28 00:00:00.000,0.7,CAD
938,NULL,BMO CN,2011-10-28 00:00:00.000,2011-11-28 00:00:00.000,0.7,CAD
939,NULL,BMO CN,2011-07-28 00:00:00.000,2011-08-26 00:00:00.000,0.7,CAD
940,NULL,BMO CN,2011-04-28 00:00:00.000,2011-05-26 00:00:00.000,0.7,CAD
941,NULL,BMO CN,2011-01-28 00:00:00.000,2011-02-28 00:00:00.000,0.7,CAD
942,NULL,BMO CN,2010-10-28 00:00:00.000,2010-11-26 00:00:00.000,0.7,CAD
943,NULL,BMO CN,2010-07-28 00:00:00.000,2010-08-26 00:00:00.000,0.7,CAD
944,NULL,BMO CN,2010-04-29 00:00:00.000,2010-05-26 00:00:00.000,0.7,CAD
945,NULL,BMO CN,2010-01-28 00:00:00.000,2010-02-26 00:00:00.000,0.7,CAD
946,NULL,BMO CN,2009-11-04 00:00:00.000,2009-11-26 00:00:00.000,0.7,CAD
947,NULL,BMO CN,2009-08-05 00:00:00.000,2009-08-27 00:00:00.000,0.7,CAD
948,NULL,BMO CN,2009-04-29 00:00:00.000,2009-05-28 00:00:00.000,0.7,CAD
949,NULL,BMO CN,2009-02-04 00:00:00.000,2009-02-26 00:00:00.000,0.7,CAD
950,NULL,BMO CN,2008-10-29 00:00:00.000,2008-11-27 00:00:00.000,0.7,CAD
951,NULL,BMO CN,2008-07-30 00:00:00.000,2008-08-28 00:00:00.000,0.7,CAD
952,NULL,BMO CN,2008-04-30 00:00:00.000,2008-05-29 00:00:00.000,0.7,CAD
953,NULL,BMO CN,2008-01-30 00:00:00.000,2008-02-28 00:00:00.000,0.7,CAD
954,NULL,BMO CN,2007-10-31 00:00:00.000,2007-11-29 00:00:00.000,0.7,CAD
955,NULL,BMO CN,2007-08-01 00:00:00.000,2007-08-30 00:00:00.000,0.68,CAD
956,NULL,BMO CN,2007-05-02 00:00:00.000,2007-05-30 00:00:00.000,0.68,CAD
957,NULL,BMO CN,2007-01-31 00:00:00.000,2007-02-27 00:00:00.000,0.65,CAD
958,NULL,BMO CN,2006-11-01 00:00:00.000,2006-11-29 00:00:00.000,0.62,CAD
959,NULL,BMO CN,2006-08-02 00:00:00.000,2006-08-30 00:00:00.000,0.62,CAD
960,NULL,BMO CN,2006-05-03 00:00:00.000,2006-05-30 00:00:00.000,0.53,CAD
961,NULL,BMO CN,2006-02-01 00:00:00.000,2006-02-27 00:00:00.000,0.49,CAD
962,NULL,BMO CN,2005-11-02 00:00:00.000,2005-11-29 00:00:00.000,0.49,CAD
963,NULL,BMO CN,2005-08-03 00:00:00.000,2005-08-30 00:00:00.000,0.46,CAD
964,NULL,BMO CN,2005-05-04 00:00:00.000,2005-05-30 00:00:00.000,0.46,CAD
965,NULL,BMO CN,2005-02-02 00:00:00.000,2005-02-25 00:00:00.000,0.44,CAD
966,NULL,BMO CN,2004-11-03 00:00:00.000,2004-11-29 00:00:00.000,0.44,CAD
967,NULL,BMO CN,2004-08-04 00:00:00.000,2004-08-30 00:00:00.000,0.4,CAD
968,NULL,BMO CN,2004-05-05 00:00:00.000,2004-05-28 00:00:00.000,0.4,CAD
969,NULL,BMO CN,2004-02-04 00:00:00.000,2004-02-26 00:00:00.000,0.35,CAD
970,NULL,BMO CN,2003-11-07 00:00:00.000,2003-11-27 00:00:00.000,0.35,CAD
971,NULL,BMO CN,2003-08-01 00:00:00.000,2003-08-28 00:00:00.000,0.33,CAD
972,NULL,BMO CN,2003-05-05 00:00:00.000,2003-05-29 00:00:00.000,0.33,CAD
973,NULL,BMO CN,2003-02-10 00:00:00.000,2003-02-27 00:00:00.000,0.33,CAD
974,NULL,BMO CN,2002-10-30 00:00:00.000,2002-11-28 00:00:00.000,0.3,CAD
975,NULL,BMO CN,2002-07-31 00:00:00.000,2002-08-29 00:00:00.000,0.3,CAD
976,NULL,BMO CN,2002-05-01 00:00:00.000,2002-05-30 00:00:00.000,0.3,CAD
977,NULL,BMO CN,2002-01-30 00:00:00.000,2002-02-27 00:00:00.000,0.3,CAD
978,NULL,BMO CN,2001-10-31 00:00:00.000,2001-11-29 00:00:00.000,0.28,CAD
979,NULL,BMO CN,2001-08-01 00:00:00.000,2001-08-30 00:00:00.000,0.28,CAD
